rank-1,rank-5,rank-10,rank-15,rank-20,rank-25,mAP,Weight=0.1
0.76,0.85,0.89,0.93,0.95,0.96,0.68,
0.68,0.77,0.79,0.84,0.85,0.87,0.64,
rank-1,rank-5,rank-10,rank-15,rank-20,rank-25,mAP,Weight=0.3
0.73,0.83,0.88,0.91,0.94,0.94,0.69,
0.67,0.77,0.82,0.87,0.9,0.91,0.63,
rank-1,rank-5,rank-10,rank-15,rank-20,rank-25,mAP,Weight=0.7
0.75,0.85,0.88,0.93,0.93,0.93,0.66,
0.72,0.79,0.82,0.87,0.88,0.89,0.65,
rank-1,rank-5,rank-10,rank-15,rank-20,rank-25,mAP,Weight=0.5
0.77,0.84,0.91,0.93,0.93,0.94,0.72,
0.69,0.82,0.88,0.92,0.93,0.95,0.63,
rank-1,rank-5,rank-10,rank-15,rank-20,rank-25,mAP,Weight=1
0.77,0.84,0.87,0.89,0.89,0.92,0.69,
0.66,0.74,0.79,0.81,0.82,0.83,0.64,
